Customer ID,City,Age,Cuisine Preference,Veg Nonveg Egg Preference,App Usage Frequency,Time Preference,Course Preference,avg_order_value,avg_order_items,total_orders
100037,Bangalore,18,"[0.15, 0.26, 0.22, 0.11, 0.04, 0.08, 0.14]","[1.0, 0.0, 0.0]",low,"[0.0, 0.33, 0.23, 0.38, 0.06]","[0.16, 0.16, 0.16, 0.11, 0.41]",527.3125,4.34375,32
100038,Chennai,28,"[0.14, 0.38, 0.14, 0.06, 0.16, 0.03, 0.09]","[0.5, 0.27, 0.23]",medium,"[0.0, 0.44, 0.22, 0.27, 0.07]","[0.44, 0.09, 0.27, 0.04, 0.16]",720.2857142857143,5.5,42
100039,Mumbai,39,"[0.27, 0.13, 0.19, 0.18, 0.0, 0.05, 0.18]","[0.39, 0.36, 0.25]",low,"[0.28, 0.15, 0.26, 0.15, 0.16]","[0.26, 0.28, 0.27, 0.03, 0.16]",692.0,4.5,32
100040,Bangalore,44,"[0.27, 0.32, 0.1, 0.05, 0.0, 0.1, 0.16]","[0.19, 0.78, 0.03]",low,"[0.0, 0.46, 0.04, 0.41, 0.09]","[0.14, 0.4, 0.03, 0.26, 0.17]",994.45,6.5,20
100041,Chennai,28,"[0.2, 0.08, 0.22, 0.24, 0.09, 0.03, 0.14]","[0.36, 0.59, 0.05]",low,"[0.0, 0.32, 0.17, 0.46, 0.05]","[0.27, 0.28, 0.18, 0.04, 0.23]",776.1428571428571,4.742857142857143,35
100042,Bangalore,18,"[0.08, 0.03, 0.27, 0.13, 0.0, 0.22, 0.27]","[0.66, 0.0, 0.34]",high,"[0.66, 0.09, 0.08, 0.16, 0.01]","[0.39, 0.07, 0.09, 0.11, 0.34]",350.73333333333335,2.52,75
100043,Mumbai,18,"[0.06, 0.54, 0.15, 0.09, 0.01, 0.0, 0.15]","[0.49, 0.41, 0.1]",low,"[0.0, 0.31, 0.31, 0.29, 0.09]","[0.13, 0.19, 0.11, 0.32, 0.25]",694.95,6.05,20
100044,Mumbai,23,"[0.06, 0.12, 0.32, 0.16, 0.03, 0.2, 0.11]","[0.5, 0.45, 0.05]",medium,"[0.0, 0.3, 0.18, 0.45, 0.07]","[0.22, 0.27, 0.03, 0.13, 0.35]",746.8,4.75,40
100045,Chennai,37,"[0.11, 0.17, 0.24, 0.06, 0.27, 0.11, 0.04]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.4, 0.09, 0.26, 0.25]","[0.36, 0.11, 0.41, 0.03, 0.09]",427.9189189189189,3.3783783783783785,37
100046,Mumbai,37,"[0.16, 0.2, 0.1, 0.31, 0.08, 0.04, 0.11]","[0.94, 0.0, 0.06]",low,"[0.0, 0.3, 0.23, 0.32, 0.15]","[0.32, 0.3, 0.17, 0.03, 0.18]",912.28,6.0,25
100047,Chennai,42,"[0.04, 0.25, 0.16, 0.12, 0.1, 0.26, 0.07]","[0.22, 0.69, 0.09]",medium,"[0.36, 0.2, 0.2, 0.21, 0.03]","[0.39, 0.08, 0.16, 0.11, 0.26]",606.3488372093024,4.651162790697675,43
100048,Mumbai,44,"[0.39, 0.27, 0.04, 0.1, 0.04, 0.0, 0.16]","[0.75, 0.07, 0.18]",medium,"[0.0, 0.29, 0.06, 0.52, 0.13]","[0.3, 0.18, 0.1, 0.05, 0.37]",737.8,5.725,40
100049,Mumbai,64,"[0.11, 0.03, 0.28, 0.21, 0.05, 0.11, 0.21]","[0.09, 0.75, 0.16]",low,"[0.0, 0.3, 0.1, 0.32, 0.28]","[0.33, 0.3, 0.09, 0.02, 0.26]",830.4736842105264,4.7894736842105265,19
100050,Delhi,41,"[0.37, 0.07, 0.22, 0.07, 0.03, 0.1, 0.14]","[0.66, 0.0, 0.34]",medium,"[0.0, 0.07, 0.14, 0.52, 0.27]","[0.07, 0.4, 0.23, 0.1, 0.2]",653.081081081081,4.216216216216216,37
100051,Delhi,49,"[0.2, 0.31, 0.32, 0.01, 0.02, 0.0, 0.14]","[0.36, 0.62, 0.02]",low,"[0.0, 0.16, 0.16, 0.6, 0.08]","[0.25, 0.19, 0.07, 0.02, 0.47]",831.4,5.666666666666667,30
100052,Delhi,26,"[0.1, 0.04, 0.16, 0.29, 0.31, 0.06, 0.04]","[1.0, 0.0, 0.0]",low,"[0.0, 0.32, 0.04, 0.57, 0.07]","[0.41, 0.28, 0.05, 0.03, 0.23]",1013.04,6.32,25
100053,Chennai,18,"[0.01, 0.46, 0.08, 0.04, 0.12, 0.18, 0.11]","[0.22, 0.77, 0.01]",high,"[0.0, 0.29, 0.07, 0.53, 0.11]","[0.18, 0.3, 0.1, 0.05, 0.37]",356.77894736842103,2.7473684210526317,95
100054,Chennai,29,"[0.03, 0.49, 0.03, 0.21, 0.08, 0.03, 0.13]","[0.24, 0.73, 0.03]",medium,"[0.0, 0.26, 0.27, 0.44, 0.03]","[0.12, 0.25, 0.25, 0.0, 0.38]",607.7435897435897,5.051282051282051,39
100055,Bangalore,18,"[0.04, 0.38, 0.14, 0.03, 0.02, 0.12, 0.27]","[0.98, 0.0, 0.02]",high,"[0.0, 0.23, 0.28, 0.22, 0.27]","[0.12, 0.19, 0.35, 0.08, 0.26]",428.88607594936707,3.670886075949367,79
100056,Mumbai,27,"[0.2, 0.2, 0.1, 0.18, 0.07, 0.02, 0.23]","[0.16, 0.29, 0.55]",low,"[0.0, 0.39, 0.15, 0.39, 0.07]","[0.13, 0.42, 0.09, 0.14, 0.22]",828.4782608695652,5.086956521739131,23
100057,Chennai,40,"[0.03, 0.21, 0.18, 0.14, 0.26, 0.15, 0.03]","[0.21, 0.73, 0.06]",low,"[0.0, 0.23, 0.1, 0.55, 0.12]","[0.19, 0.07, 0.2, 0.23, 0.31]",361.3939393939394,3.3636363636363638,33
100058,Bangalore,40,"[0.19, 0.29, 0.07, 0.1, 0.01, 0.02, 0.32]","[0.47, 0.0, 0.53]",medium,"[0.0, 0.03, 0.13, 0.51, 0.33]","[0.25, 0.13, 0.11, 0.07, 0.44]",672.1136363636364,5.681818181818182,44
100059,Bangalore,18,"[0.1, 0.16, 0.16, 0.17, 0.04, 0.13, 0.24]","[0.46, 0.54, 0.0]",low,"[0.0, 0.17, 0.27, 0.39, 0.17]","[0.08, 0.19, 0.07, 0.22, 0.44]",630.0,5.0,33
100060,Mumbai,31,"[0.06, 0.04, 0.31, 0.18, 0.09, 0.21, 0.11]","[0.67, 0.33, 0.0]",low,"[0.0, 0.49, 0.15, 0.33, 0.03]","[0.33, 0.11, 0.2, 0.06, 0.3]",787.3225806451613,5.580645161290323,31
100061,Bangalore,39,"[0.06, 0.15, 0.17, 0.2, 0.02, 0.2, 0.2]","[0.12, 0.29, 0.59]",medium,"[0.0, 0.41, 0.21, 0.34, 0.04]","[0.19, 0.19, 0.27, 0.06, 0.29]",853.0263157894736,6.684210526315789,38
100062,Bangalore,18,"[0.08, 0.22, 0.09, 0.14, 0.29, 0.03, 0.15]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.3, 0.23, 0.27, 0.2]","[0.61, 0.04, 0.02, 0.19, 0.14]",754.2745098039215,5.921568627450981,51
100063,Chennai,26,"[0.02, 0.24, 0.18, 0.07, 0.16, 0.13, 0.2]","[0.28, 0.66, 0.06]",medium,"[0.0, 0.74, 0.02, 0.19, 0.05]","[0.4, 0.36, 0.12, 0.01, 0.11]",943.2083333333334,5.3125,48
100064,Bangalore,59,"[0.02, 0.1, 0.25, 0.16, 0.04, 0.13, 0.3]","[0.07, 0.31, 0.62]",medium,"[0.0, 0.3, 0.15, 0.3, 0.25]","[0.35, 0.01, 0.12, 0.42, 0.1]",819.974358974359,7.0,39
100065,Chennai,42,"[0.19, 0.33, 0.0, 0.01, 0.16, 0.01, 0.3]","[0.15, 0.74, 0.11]",medium,"[0.0, 0.42, 0.2, 0.26, 0.12]","[0.33, 0.06, 0.06, 0.12, 0.43]",505.35897435897436,4.487179487179487,39
100066,Chennai,44,"[0.05, 0.45, 0.06, 0.11, 0.19, 0.01, 0.13]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.28, 0.28, 0.33, 0.11]","[0.24, 0.08, 0.21, 0.04, 0.43]",282.54545454545456,2.772727272727273,44
100067,Bangalore,24,"[0.22, 0.34, 0.15, 0.08, 0.06, 0.07, 0.08]","[0.37, 0.49, 0.14]",medium,"[0.0, 0.16, 0.17, 0.38, 0.29]","[0.26, 0.23, 0.03, 0.08, 0.4]",428.3076923076923,2.871794871794872,39
100068,Chennai,19,"[0.01, 0.26, 0.38, 0.07, 0.04, 0.22, 0.02]","[0.18, 0.81, 0.01]",low,"[0.0, 0.32, 0.11, 0.38, 0.19]","[0.23, 0.18, 0.06, 0.13, 0.4]",755.4848484848485,5.424242424242424,33
100069,Bangalore,37,"[0.07, 0.12, 0.04, 0.11, 0.07, 0.31, 0.28]","[0.47, 0.5, 0.03]",medium,"[0.0, 0.32, 0.38, 0.25, 0.05]","[0.46, 0.24, 0.03, 0.02, 0.25]",1070.84375,6.59375,32
100070,Delhi,38,"[0.27, 0.08, 0.11, 0.31, 0.08, 0.03, 0.12]","[0.14, 0.56, 0.3]",high,"[0.0, 0.22, 0.31, 0.23, 0.24]","[0.21, 0.54, 0.16, 0.04, 0.05]",543.452380952381,2.7857142857142856,84
100071,Delhi,29,"[0.38, 0.16, 0.13, 0.07, 0.11, 0.06, 0.09]","[0.5, 0.25, 0.25]",low,"[0.0, 0.62, 0.08, 0.19, 0.11]","[0.13, 0.22, 0.09, 0.19, 0.37]",717.8947368421053,5.526315789473684,19
100072,Delhi,41,"[0.36, 0.09, 0.23, 0.03, 0.01, 0.27, 0.01]","[0.47, 0.47, 0.06]",medium,"[0.0, 0.4, 0.06, 0.17, 0.37]","[0.33, 0.12, 0.3, 0.02, 0.23]",305.88,2.48,25
100073,Mumbai,53,"[0.27, 0.13, 0.03, 0.13, 0.03, 0.29, 0.12]","[0.35, 0.52, 0.13]",medium,"[0.0, 0.47, 0.13, 0.29, 0.11]","[0.17, 0.41, 0.09, 0.09, 0.24]",909.025641025641,5.589743589743589,39
100074,Chennai,33,"[0.04, 0.04, 0.33, 0.16, 0.16, 0.21, 0.06]","[1.0, 0.0, 0.0]",low,"[0.0, 0.21, 0.01, 0.56, 0.22]","[0.23, 0.35, 0.2, 0.0, 0.22]",722.6666666666666,4.484848484848484,33
100075,Bangalore,24,"[0.13, 0.1, 0.3, 0.2, 0.01, 0.14, 0.12]","[0.35, 0.62, 0.03]",low,"[0.0, 0.19, 0.17, 0.47, 0.17]","[0.11, 0.25, 0.24, 0.08, 0.32]",686.7142857142857,4.964285714285714,28
100076,Mumbai,34,"[0.06, 0.08, 0.19, 0.27, 0.01, 0.08, 0.31]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.21, 0.21, 0.46, 0.12]","[0.12, 0.43, 0.14, 0.1, 0.21]",1000.0697674418604,6.372093023255814,43
100077,Bangalore,18,"[0.11, 0.06, 0.13, 0.23, 0.2, 0.08, 0.19]","[0.42, 0.56, 0.02]",medium,"[0.0, 0.35, 0.18, 0.22, 0.25]","[0.13, 0.14, 0.24, 0.09, 0.4]",634.5581395348837,4.627906976744186,43
100078,Delhi,31,"[0.22, 0.28, 0.2, 0.08, 0.03, 0.13, 0.06]","[0.51, 0.0, 0.49]",low,"[0.0, 0.49, 0.08, 0.33, 0.1]","[0.55, 0.08, 0.13, 0.14, 0.1]",699.2692307692307,5.3076923076923075,26
100079,Delhi,43,"[0.47, 0.01, 0.11, 0.27, 0.02, 0.04, 0.08]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.4, 0.01, 0.22, 0.37]","[0.34, 0.23, 0.2, 0.02, 0.21]",1107.7777777777778,7.266666666666667,45
100080,Chennai,18,"[0.03, 0.34, 0.29, 0.09, 0.06, 0.03, 0.16]","[0.32, 0.68, 0.0]",medium,"[0.0, 0.44, 0.01, 0.32, 0.23]","[0.33, 0.14, 0.08, 0.11, 0.34]",927.85,6.975,40
100081,Chennai,48,"[0.0, 0.28, 0.16, 0.07, 0.15, 0.07, 0.27]","[0.29, 0.47, 0.24]",medium,"[0.0, 0.23, 0.36, 0.17, 0.24]","[0.56, 0.22, 0.09, 0.09, 0.04]",741.0588235294117,4.617647058823529,34
100082,Chennai,18,"[0.01, 0.27, 0.26, 0.13, 0.19, 0.09, 0.05]","[0.11, 0.8, 0.09]",medium,"[0.0, 0.29, 0.05, 0.63, 0.03]","[0.24, 0.09, 0.11, 0.05, 0.51]",369.2391304347826,2.847826086956522,46
100083,Mumbai,30,"[0.09, 0.06, 0.25, 0.3, 0.0, 0.18, 0.12]","[0.15, 0.84, 0.01]",medium,"[0.0, 0.14, 0.15, 0.59, 0.12]","[0.2, 0.35, 0.12, 0.01, 0.32]",872.2285714285714,5.085714285714285,35
100084,Chennai,36,"[0.45, 0.25, 0.08, 0.02, 0.06, 0.01, 0.13]","[0.13, 0.64, 0.23]",medium,"[0.0, 0.14, 0.07, 0.44, 0.35]","[0.24, 0.15, 0.06, 0.01, 0.54]",587.0512820512821,4.410256410256411,39
100085,Bangalore,32,"[0.08, 0.15, 0.18, 0.15, 0.05, 0.23, 0.16]","[0.65, 0.24, 0.11]",low,"[0.0, 0.31, 0.09, 0.38, 0.22]","[0.13, 0.08, 0.15, 0.01, 0.63]",878.0769230769231,7.3076923076923075,26
100086,Chennai,57,"[0.06, 0.27, 0.18, 0.04, 0.07, 0.21, 0.17]","[0.24, 0.7, 0.06]",low,"[0.0, 0.1, 0.31, 0.38, 0.21]","[0.2, 0.08, 0.24, 0.1, 0.38]",657.3,5.266666666666667,30
100087,Mumbai,22,"[0.14, 0.23, 0.02, 0.21, 0.01, 0.22, 0.17]","[0.86, 0.0, 0.14]",low,"[0.0, 0.32, 0.29, 0.26, 0.13]","[0.26, 0.26, 0.08, 0.1, 0.3]",583.8125,4.125,32
100088,Delhi,35,"[0.16, 0.04, 0.21, 0.24, 0.09, 0.11, 0.15]","[0.47, 0.27, 0.26]",low,"[0.0, 0.09, 0.38, 0.37, 0.16]","[0.36, 0.08, 0.34, 0.03, 0.19]",793.1153846153846,5.384615384615385,26
100089,Bangalore,41,"[0.06, 0.12, 0.16, 0.11, 0.15, 0.16, 0.24]","[0.79, 0.0, 0.21]",low,"[0.0, 0.25, 0.17, 0.51, 0.07]","[0.37, 0.3, 0.13, 0.06, 0.14]",883.3333333333334,5.948717948717949,39
100090,Chennai,18,"[0.04, 0.16, 0.22, 0.07, 0.26, 0.12, 0.13]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.27, 0.2, 0.31, 0.22]","[0.26, 0.16, 0.08, 0.11, 0.39]",675.1315789473684,5.368421052631579,38
100091,Chennai,21,"[0.0, 0.17, 0.51, 0.08, 0.05, 0.11, 0.08]","[0.38, 0.51, 0.11]",medium,"[0.0, 0.43, 0.19, 0.35, 0.03]","[0.31, 0.05, 0.16, 0.35, 0.13]",493.025,4.175,40
100092,Mumbai,18,"[0.17, 0.22, 0.05, 0.37, 0.03, 0.14, 0.02]","[0.58, 0.37, 0.05]",high,"[0.0, 0.34, 0.14, 0.32, 0.2]","[0.12, 0.4, 0.06, 0.2, 0.22]",672.6265060240963,5.192771084337349,83
100093,Bangalore,27,"[0.12, 0.26, 0.13, 0.06, 0.08, 0.16, 0.19]","[0.49, 0.37, 0.14]",medium,"[0.0, 0.55, 0.15, 0.24, 0.06]","[0.39, 0.33, 0.08, 0.13, 0.07]",1104.5121951219512,7.2439024390243905,41
100094,Mumbai,27,"[0.18, 0.1, 0.03, 0.29, 0.05, 0.22, 0.13]","[0.82, 0.0, 0.18]",medium,"[0.0, 0.13, 0.08, 0.56, 0.23]","[0.07, 0.2, 0.24, 0.03, 0.46]",512.0294117647059,3.8823529411764706,34
100095,Mumbai,63,"[0.13, 0.2, 0.01, 0.51, 0.06, 0.03, 0.06]","[1.0, 0.0, 0.0]",medium,"[0.37, 0.04, 0.09, 0.37, 0.13]","[0.22, 0.22, 0.1, 0.09, 0.37]",527.125,4.175,40
100096,Bangalore,40,"[0.11, 0.11, 0.21, 0.24, 0.02, 0.22, 0.09]","[0.99, 0.0, 0.01]",low,"[0.67, 0.2, 0.06, 0.07, 0.0]","[0.3, 0.01, 0.06, 0.31, 0.32]",746.9032258064516,6.838709677419355,31
100097,Chennai,18,"[0.03, 0.2, 0.23, 0.14, 0.09, 0.19, 0.12]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.28, 0.29, 0.27, 0.16]","[0.41, 0.13, 0.06, 0.25, 0.15]",835.1621621621622,6.378378378378378,37
100098,Delhi,24,"[0.19, 0.02, 0.21, 0.27, 0.1, 0.15, 0.06]","[1.0, 0.0, 0.0]",medium,"[0.14, 0.15, 0.05, 0.6, 0.06]","[0.12, 0.13, 0.09, 0.28, 0.38]",427.76190476190476,3.642857142857143,42
100099,Chennai,18,"[0.04, 0.11, 0.23, 0.14, 0.1, 0.28, 0.1]","[0.11, 0.87, 0.02]",medium,"[0.0, 0.19, 0.41, 0.29, 0.11]","[0.35, 0.26, 0.06, 0.16, 0.17]",704.8936170212766,4.0638297872340425,47
100100,Delhi,18,"[0.25, 0.3, 0.07, 0.1, 0.17, 0.0, 0.11]","[0.14, 0.76, 0.1]",medium,"[0.0, 0.22, 0.06, 0.6, 0.12]","[0.04, 0.21, 0.15, 0.14, 0.46]",445.1875,3.53125,32
100101,Mumbai,29,"[0.35, 0.21, 0.14, 0.11, 0.01, 0.0, 0.18]","[0.09, 0.85, 0.06]",medium,"[0.0, 0.12, 0.08, 0.56, 0.24]","[0.3, 0.24, 0.06, 0.08, 0.32]",798.4782608695652,5.391304347826087,23
100102,Mumbai,48,"[0.19, 0.12, 0.25, 0.17, 0.12, 0.07, 0.08]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.32, 0.23, 0.22, 0.23]","[0.29, 0.48, 0.11, 0.03, 0.09]",1121.1666666666667,6.416666666666667,36
